Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Document Year,Age Group
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3.md",MinerU,0.071429,0.202096,10,152,104,2,31,102,3724,668,0.639640,333,120,0.717172,99,28,0.666667,3,1,0.000000,1643,1625-1649
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2.md",MinerU,0.085948,0.182716,9,156,35,3,27,44,2327,405,0.706422,218,64,0.654206,107,37,0.000000,1,1,0.000000,1660,1650-1674
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53.md",MinerU,0.621663,0.721751,1614,232,599,216,37,258,3933,708,0.069825,401,373,-0.110236,127,141,-9.250000,4,41,0.000000,1675,1675-1699
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102.md",MinerU,0.101377,0.213650,9,136,39,1,26,45,1815,337,0.637363,182,66,0.594937,79,32,0.888889,9,1,0.000000,1675,1675-1699
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8.md,MinerU,0.213995,0.421525,20,227,227,8,30,150,2215,446,0.270270,222,162,0.250000,76,57,-11.000000,1,12,0.000000,1675,1675-1699
Anonymous - 1676 - Wonderful news from Bristol_page_5.md,MinerU,0.038591,0.160000,2,15,29,0,7,29,1192,225,0.706422,109,32,0.740741,27,7,0.000000,1,1,0.000000,1676,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3.md,MinerU,0.040093,0.189711,2,29,38,0,15,44,1721,311,0.645161,155,55,0.794872,78,16,0.333333,6,4,0.000000,1677,1675-1699
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10.md",MinerU,0.067389,0.166230,3,178,105,1,30,96,4244,764,0.663793,348,117,0.726744,172,47,0.750000,4,1,0.000000,1680,1675-1699
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1.md,MinerU,0.148083,0.252336,54,146,302,22,35,105,3390,642,0.569079,304,131,0.487342,158,81,0.642857,14,5,0.000000,1682,1675-1699
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122.md,MinerU,0.114754,0.236145,11,171,70,3,32,63,2196,415,0.615044,226,87,0.635135,74,27,0.000000,3,3,0.000000,1690,1675-1699
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1.md,MinerU,0.177419,0.176471,112,8,23,7,1,19,806,153,0.656250,64,22,0.548387,31,14,-2.200000,5,16,0.000000,1692,1675-1699
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1.md,MinerU,0.116517,0.312434,25,465,147,4,130,160,5467,941,0.465324,447,239,0.517647,255,123,0.000000,2,2,0.000000,1693,1675-1699
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10.md",MinerU,0.120279,0.314685,51,273,125,3,102,120,3733,715,0.536977,311,144,0.642202,109,39,0.666667,9,3,0.000000,1693,1675-1699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2.md",MinerU,0.060544,0.152355,11,225,120,0,46,119,5880,1083,0.693548,496,152,0.706383,235,69,0.333333,6,4,0.000000,1695,1675-1699
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31.md,MinerU,0.125034,0.273264,46,248,169,10,48,127,3703,677,0.509494,316,155,0.485294,136,70,0.705882,17,5,0.000000,1700,1700-1724
Anonymous - 1700 - Directions for Sugar Plums_page_1.md,MinerU,0.087924,0.175000,143,63,110,4,20,95,3594,680,0.724796,367,101,0.748252,286,72,-1.235294,17,38,0.000000,1700,1700-1724
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50.md,MinerU,0.053276,0.166437,8,93,108,1,23,97,3923,727,0.672727,330,108,0.634921,63,23,0.000000,2,2,0.000000,1700,1700-1724
Anonymous - 1704 - Female Policy Detected_page_73.md,MinerU,0.045946,0.131034,1,38,29,0,8,30,1480,290,0.735714,140,37,0.789474,57,12,0.000000,1,1,0.000000,1704,1700-1724
Anonymous - 1710 - Whereas the Queen has been pleased to direct_page_1.md,MinerU,0.178281,0.208877,220,132,65,4,34,42,2339,383,0.630000,200,74,0.685714,140,44,-4.000000,10,50,0.000000,1710,1700-1724
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1.md",MinerU,0.161696,0.216463,2,541,48,0,93,49,3655,656,0.676667,300,97,0.656977,172,59,0.500000,6,3,0.000000,1712,1700-1724
Anonymous - 1716 - A True Account of the late pyracies of Jamaica_page_19.md,MinerU,0.046860,0.170732,5,14,31,3,7,25,1067,205,0.725275,91,25,0.755556,45,11,0.750000,4,1,0.000000,1716,1700-1724
Anonymous - 1721 - The unhappy voyage_page_1.md,MinerU,0.094524,0.185567,171,153,180,24,27,129,5332,970,0.688716,514,160,0.741135,282,73,-2.400000,5,17,0.000000,1721,1700-1724
Anonymous - 1726 - The State of the Island of Jamaica_page_41.md,MinerU,0.139008,0.272727,73,87,67,14,20,44,1633,286,0.581699,153,64,0.756410,78,19,0.000000,4,4,0.000000,1726,1725-1749
