Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Hallucination Rate,Total Hallucinated Words,Unique Hallucinated Words,Document Year,Age Group
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3.md",LightOn,0.037458,0.066667,112,5,18,17,2,24,3604,645,0.875399,313,39,0.831461,89,15,0.500000,2,1,0.882047,0.025758,17,17,1643,1625-1649
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2.md",LightOn,0.062727,0.083990,128,3,7,22,0,10,2200,381,0.868020,197,26,0.757895,95,23,1.000000,0,0,0.878571,0.034739,14,13,1660,1650-1674
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53.md",LightOn,0.100053,0.220760,139,147,95,18,28,105,3808,684,0.653543,381,132,0.649573,117,41,-4.333333,3,16,0.637667,0.054896,37,26,1675,1675-1699
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102.md",LightOn,6.445165,5.224684,10818,63,50,1606,10,35,1696,316,-6.567073,164,1241,0.507246,69,34,0.625000,8,3,0.118458,0.630230,1205,26,1675,1675-1699
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8.md,LightOn,0.109308,0.185446,137,19,73,29,1,49,2095,426,0.696078,204,62,0.447761,67,37,1.000000,0,0,0.693080,0.055066,25,23,1675,1675-1699
Anonymous - 1676 - Wonderful news from Bristol_page_5.md,LightOn,0.005085,0.022831,2,1,3,1,0,4,1180,219,0.951456,103,5,0.888889,27,3,1.000000,1,0,0.949324,0.013636,3,3,1676,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3.md,LightOn,0.003511,0.026230,2,1,3,2,1,5,1709,305,0.966443,149,5,0.935897,78,5,1.000000,6,0,0.957137,0.000000,0,0,1677,1675-1699
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10.md",LightOn,0.040567,0.060976,142,8,16,22,2,21,4092,738,0.892966,327,35,0.842767,159,25,0.666667,3,1,0.906327,0.019789,15,14,1680,1675-1699
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1.md,LightOn,0.096984,0.123824,40,52,236,18,21,40,3382,638,0.803333,300,59,0.707006,157,46,1.000000,14,0,0.897399,0.007874,5,4,1682,1675-1699
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122.md,LightOn,0.067994,0.085052,124,6,10,19,2,12,2059,388,0.862069,203,28,0.761905,63,15,0.500000,2,1,0.875229,0.024691,10,10,1690,1675-1699
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1.md,LightOn,0.027295,0.065359,20,0,2,5,1,4,806,153,0.875000,64,8,0.806452,31,6,0.600000,5,2,0.902844,0.038217,6,6,1692,1675-1699
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1.md,LightOn,1.065010,0.836226,5626,10,65,704,2,65,5353,922,-0.763341,431,760,0.824490,245,43,0.000000,1,1,0.474834,0.022167,36,31,1693,1675-1699
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10.md",LightOn,0.075894,0.222772,226,1,34,37,1,97,3439,606,0.523636,275,131,0.571429,98,42,0.875000,8,1,0.589957,0.118380,76,71,1693,1675-1699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2.md",LightOn,0.028571,0.055081,119,6,39,19,2,37,5740,1053,0.889126,469,52,0.880000,225,27,0.800000,5,1,0.896712,0.013084,14,13,1695,1675-1699
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31.md,LightOn,0.104296,0.197819,186,47,136,26,12,89,3538,642,0.626761,284,106,0.593496,123,50,0.812500,16,3,0.658298,0.056402,37,31,1700,1700-1724
Anonymous - 1700 - Directions for Sugar Plums_page_1.md,LightOn,0.160724,0.311209,408,30,139,13,80,118,3590,678,0.591281,367,150,0.632867,286,105,0.882353,17,2,0.497143,0.022913,14,13,1700,1700-1724
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50.md,LightOn,0.037731,0.064789,114,8,25,18,0,28,3896,710,0.875776,322,40,0.714286,63,18,0.500000,2,1,0.882053,0.028846,21,21,1700,1700-1724
Anonymous - 1704 - Female Policy Detected_page_73.md,LightOn,0.023098,0.031469,2,27,5,1,4,4,1472,286,0.940741,135,8,0.929825,57,4,0.000000,1,1,0.950595,0.010601,3,3,1704,1700-1724
Anonymous - 1710 - Whereas the Queen has been pleased to direct_page_1.md,LightOn,0.240018,0.312329,473,5,57,51,9,54,2229,365,0.508108,185,91,0.684615,130,41,0.222222,9,7,0.640778,0.058968,24,18,1710,1700-1724
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1.md",LightOn,0.036637,0.038035,121,1,7,17,1,6,3521,631,0.931408,277,19,0.894410,161,17,0.800000,5,1,0.955036,0.012365,8,8,1712,1700-1724
Anonymous - 1716 - A True Account of the late pyracies of Jamaica_page_19.md,LightOn,0.021698,0.089109,5,4,14,2,2,14,1060,202,0.885057,87,10,0.911111,45,4,1.000000,4,0,0.827259,0.024752,5,5,1716,1700-1724
Anonymous - 1721 - The unhappy voyage_page_1.md,LightOn,0.068708,0.133124,218,25,116,31,1,95,5225,954,0.768463,501,116,0.764706,272,64,0.250000,4,3,0.739307,0.055894,55,47,1721,1700-1724
Anonymous - 1726 - The State of the Island of Jamaica_page_41.md,LightOn,0.078735,0.105072,47,48,32,8,8,13,1613,276,0.887324,142,16,0.871795,78,10,0.500000,4,2,0.956741,0.003623,1,1,1726,1725-1749
Anonymous - 1728 - Some observations on the Assiento Trade_page_22.md,LightOn,0.005988,0.017094,0,7,5,0,3,3,2004,351,0.974194,155,4,0.975000,80,2,0.666667,3,1,0.969878,0.000000,0,0,1728,1725-1749
Anonymous - 1731 - The Case of the British Sugar-Colonies_page_2.md,LightOn,0.104815,0.199725,127,143,185,17,24,104,4341,726,0.678261,345,111,0.658291,199,68,0.500000,2,1,0.670286,0.059805,43,37,1731,1725-1749
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1.md,LightOn,0.013629,0.040541,0,27,0,0,12,3,1981,370,0.976879,173,4,0.946667,75,4,0.666667,3,1,0.917608,0.005587,2,2,1732,1725-1749
Anonymous - 1740 - A letter from a gentleman at barbados to his friend now in London_page_25.md,LightOn,0.009217,0.030973,1,8,3,0,3,4,1302,226,0.951923,104,5,0.936170,47,3,0.666667,3,1,0.941777,0.004484,1,1,1740,1725-1749
"Anonymous - 1743 - Acts of Assembly passed in the Island of Jamaica from 1681, to 1737, inclusive_page_118.md",LightOn,0.124276,0.185587,412,266,30,83,62,43,5697,1013,0.749482,483,121,0.707071,297,87,1.000000,2,0,0.839052,0.014507,15,15,1743,1725-1749
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6.md,LightOn,0.005739,0.027242,6,7,15,2,2,20,4879,881,0.941691,343,20,0.888268,179,20,1.000000,1,0,0.941375,0.006810,6,6,1744,1725-1749
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41.md,LightOn,0.007909,0.028436,6,2,1,0,0,6,1138,211,0.961165,103,4,0.953488,43,2,1.000000,2,0,0.959246,0.004739,1,1,1746,1725-1749
Anonymous - 1752 - The art of making sugar_page_1.md,LightOn,0.010173,0.028698,21,1,5,4,0,9,2654,453,0.962185,238,9,0.928571,14,1,1.000000,3,0,0.938143,0.006565,3,3,1752,1750-1774
Anonymous - 1753 - An accurate description of the cacao-tree_page_2.md,LightOn,0.007963,0.036408,5,3,9,0,1,14,2135,412,0.918478,184,15,0.842105,38,6,1.000000,14,0,0.915814,0.009732,4,4,1753,1750-1774
Anonymous - 1757 - The Jamaica Association Develop'd_page_14.md,LightOn,0.011450,0.066038,0,4,11,0,3,11,1310,212,0.875000,96,12,0.895833,48,5,1.000000,1,0,0.871536,0.028708,6,6,1757,1750-1774
Anonymous - 1764 - Astronomical Observations Made at the Island of Barbados; At Willoughby Fort_page_1.md,LightOn,0.038730,0.082143,40,0,21,2,0,21,1575,280,0.867089,158,21,0.912281,57,5,0.578947,19,8,0.851446,0.010638,3,3,1764,1750-1774
Anonymous - 1766 - The privileges of the island of jamaica vindicated_page_64.md,LightOn,0.007062,0.019685,0,10,0,0,4,1,1416,254,0.982143,112,2,1.000000,14,0,0.500000,2,1,0.971212,0.000000,0,0,1766,1750-1774
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7.md",LightOn,0.002641,0.016018,3,2,2,2,1,4,2651,437,0.976959,217,5,0.971429,140,4,1.000000,1,0,0.979355,0.000000,0,0,1768,1750-1774
Anonymous - 1768 - Letters from a farmer in pennsylvania_page_74.md,LightOn,0.015288,0.043956,2,18,2,0,5,7,1439,273,0.921260,127,10,0.500000,4,2,0.000000,1,1,0.919343,0.014925,4,4,1768,1750-1774
Anonymous - 1789 - Notes on the two reports from the committee of the honourable house of assembly of Jamaica_page_32.md,LightOn,0.026464,0.162679,29,2,2,0,2,32,1247,209,0.710526,114,33,0.785714,28,6,0.833333,12,2,0.622574,0.106280,22,13,1789,1775-1799
Anonymous - 1792 - Bristol an abstract of the city charter_page_32.md,LightOn,0.001869,0.020408,0,2,0,0,2,2,1070,196,0.977528,89,2,0.928571,28,2,1.000000,1,0,0.963898,0.010309,2,2,1792,1775-1799
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15.md,LightOn,0.006051,0.017699,0,7,1,0,3,1,1322,226,0.981308,107,2,0.888889,9,1,0.500000,2,1,0.975463,0.000000,0,0,1792,1775-1799
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1.md",LightOn,0.003989,0.031008,2,0,1,2,0,2,752,129,0.966667,60,2,0.857143,7,1,1.000000,1,0,0.969110,0.007634,1,1,1793,1775-1799
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7.md,LightOn,0.006623,0.023256,0,8,2,0,2,5,1510,301,0.965909,176,6,0.978723,47,1,0.000000,1,1,0.951340,0.010033,3,3,1800,1800-1824
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243.md,LightOn,0.006792,0.017621,0,9,0,0,3,1,1325,227,0.980952,105,2,1.000000,2,0,0.000000,1,1,0.975572,0.004464,1,1,1803,1800-1824
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9.md",LightOn,0.035152,0.069620,166,2,24,17,0,49,5462,948,0.854503,433,63,0.778325,203,45,0.500000,2,1,0.860408,0.026943,26,23,1691,1675-1699
"Anonymous and Kilkenny - 1643 - Orders establisht in the popish generall assembly, held (under the specious pretence of supreme auth_page_5.md",LightOn,0.034455,0.061033,113,12,5,17,4,18,3773,639,0.893688,301,32,0.824176,91,16,0.888889,9,1,0.910024,0.019939,13,11,1643,1625-1649
Baker - 1775 - An essay on the art of making Moscavado sugar wherein a new process is proposed_page_1.md,LightOn,0.005538,0.026059,1,3,5,1,1,6,1625,307,0.950355,141,7,0.942857,70,4,1.000000,5,0,0.944757,0.013029,4,4,1775,1775-1799
Banks - 1699 - The unhappy favourite_page_37.md,LightOn,0.014286,0.048718,2,7,20,0,3,16,2030,390,0.911917,193,17,0.913580,81,7,0.000000,1,1,0.890017,0.018088,7,7,1699,1675-1699
Barham - 1717 - A letter of that curious Naturalist Mr Henry Barham_page_1.md,LightOn,0.107824,0.116838,155,0,9,23,0,11,1521,291,0.832117,137,23,0.828125,64,11,0.500000,2,1,0.842286,0.035032,11,10,1717,1700-1724
Bishop - 1766 - Instructions and observations relative to the navigation of the windward and gulph passages_page_74.md,LightOn,0.008442,0.024194,0,8,3,0,3,3,1303,248,0.967213,122,4,0.967742,62,2,0.800000,5,1,0.957242,0.000000,0,0,1766,1750-1774
Burroughs - 1659 - Rich Newes from Jamaica_page_4.md,LightOn,0.051153,0.088757,1,22,28,1,2,12,997,169,0.860465,86,12,0.757576,33,8,1.000000,1,0,0.866313,0.023810,4,4,1659,1650-1674
"Cary - 1695 - An essay on the state of England in relation to its trade, its poor, and its taxes, for carrying on_page_51.md",LightOn,0.058100,0.081928,125,4,8,20,1,13,2358,415,0.837838,185,30,0.739130,69,18,0.500000,2,1,0.876691,0.032258,14,14,1695,1675-1699
Child - 1690 - A discourse about trade_page_175.md,LightOn,0.009919,0.046392,6,1,4,2,0,7,1109,194,0.917647,85,7,0.952381,42,2,0.800000,5,1,0.915882,0.010204,2,2,1690,1675-1699
Cotton - 1614 - Gods promise to his plantation_page_14.md,LightOn,0.016575,0.027027,0,21,3,0,4,3,1448,259,0.946970,132,7,0.880000,25,3,0.875000,8,1,0.955162,0.003922,1,1,1614,1600-1624
Cowley - 1739 - A description of the windward passage and gulf of florida_page_21.md,LightOn,0.006854,0.015444,0,8,2,0,2,2,1459,259,0.974138,116,3,0.964286,56,2,0.000000,1,1,0.972752,0.000000,0,0,1739,1725-1749
"Davison - 1621 - Dauisons poems, or, A poeticall rapsodie Deuided into sixe bookes. The first, contayning poems and d_page_73.md",LightOn,0.147558,0.343490,169,20,98,26,2,96,1945,361,0.463768,207,111,0.038462,26,25,0.500000,2,1,0.427712,0.098701,38,33,1621,1600-1624
