OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
Chandra-2,1750-1774,13,0.030406,0.022951,0.017433,0.096260,0.072289,0.061589,0.825254,0.868673,0.117905,0.036993,0.029126,0.022433
Chandra-2,1775-1799,14,0.053208,0.022678,0.099012,0.124442,0.063798,0.153037,0.842630,0.898403,0.156172,0.037626,0.018892,0.067074
Chandra-2,1800-1824,7,0.145214,0.010082,0.327978,0.145072,0.035242,0.230594,0.843910,0.944095,0.186418,0.015985,0.010309,0.016301
DeepSeek,1600-1624,5,0.214294,0.104884,0.240759,0.391329,0.302297,0.196326,0.398652,0.484546,0.175685,0.064748,0.071429,0.014559
DeepSeek,1625-1649,5,0.161685,0.098955,0.144405,0.333246,0.379518,0.160569,0.519687,0.461891,0.119075,0.062387,0.063348,0.019441
DeepSeek,1650-1674,11,0.098238,0.056882,0.076389,0.234848,0.191601,0.093426,0.606317,0.624762,0.100068,0.058040,0.055762,0.017922
DeepSeek,1675-1699,21,0.103193,0.044440,0.159003,0.222472,0.170996,0.174062,0.626826,0.655786,0.186349,0.047358,0.040084,0.033584
DeepSeek,1700-1724,12,0.105781,0.047494,0.198373,0.221129,0.158639,0.254480,0.686300,0.708166,0.246328,0.034768,0.033562,0.019009
DeepSeek,1725-1749,12,0.117461,0.020130,0.193200,0.195618,0.082109,0.236965,0.740774,0.847738,0.241193,0.039140,0.019710,0.063862
DeepSeek,1750-1774,13,0.048009,0.048793,0.010932,0.172850,0.183223,0.059657,0.665700,0.658879,0.117249,0.038716,0.039911,0.018881
DeepSeek,1775-1799,14,0.087979,0.025360,0.214149,0.626202,0.074802,1.942852,0.782754,0.880031,0.247095,0.075261,0.019036,0.209813
DeepSeek,1800-1824,7,0.188496,0.008609,0.299420,0.151201,0.033223,0.168283,0.804635,0.942095,0.200521,0.017859,0.010204,0.016308
EasyOCR,1600-1624,5,0.586588,0.738303,0.223364,0.870351,0.962963,0.136046,0.054643,0.022661,0.063172,0.085305,0.085987,0.021592
EasyOCR,1625-1649,5,0.752258,0.751922,0.000752,0.948419,0.947190,0.006763,0.086867,0.092636,0.048716,0.078035,0.076119,0.008091
EasyOCR,1650-1674,11,0.552811,0.644872,0.245654,0.818230,0.900510,0.186161,0.140089,0.147325,0.081739,0.093259,0.091549,0.017713
EasyOCR,1675-1699,21,0.608421,0.722660,0.232169,0.850358,0.943038,0.171464,0.160824,0.148979,0.100974,0.113613,0.098969,0.055922
EasyOCR,1700-1724,12,0.480695,0.456356,0.245708,0.749509,0.730055,0.207574,0.179281,0.143250,0.099774,0.106977,0.113380,0.024836
EasyOCR,1725-1749,12,0.270959,0.211284,0.169979,0.503454,0.414671,0.200143,0.351126,0.377256,0.120211,0.089033,0.085897,0.022912
EasyOCR,1750-1774,13,0.290723,0.208621,0.235235,0.560896,0.435115,0.205103,0.253227,0.309869,0.143625,0.084547,0.081466,0.017263
EasyOCR,1775-1799,14,0.211610,0.182361,0.175772,0.458271,0.457614,0.157765,0.348200,0.341471,0.149478,0.074887,0.078497,0.028019
EasyOCR,1800-1824,7,0.309795,0.126900,0.316013,0.455406,0.308411,0.302921,0.418508,0.515877,0.268056,0.069547,0.066372,0.025657
Gemini,1600-1624,5,0.069919,0.047193,0.046044,0.226511,0.215236,0.049144,0.571063,0.573586,0.025214,0.020918,0.023641,0.012971
Gemini,1625-1649,5,0.195906,0.041781,0.313621,0.318858,0.199482,0.271107,0.487499,0.595320,0.241384,0.017417,0.006144,0.016575
Gemini,1650-1674,11,0.067045,0.041645,0.062335,0.198748,0.186352,0.057856,0.623892,0.625560,0.047549,0.012989,0.011710,0.006261
Gemini,1675-1699,21,0.089255,0.040797,0.202060,0.219945,0.180212,0.181444,0.608775,0.630947,0.156936,0.027616,0.012780,0.048359
Gemini,1700-1724,12,0.038943,0.038505,0.017508,0.155749,0.170297,0.038728,0.681574,0.657211,0.065512,0.017378,0.012445,0.014808
Gemini,1725-1749,12,0.049974,0.040100,0.030105,0.179291,0.171006,0.038898,0.653099,0.637364,0.050324,0.013544,0.012895,0.008303
Gemini,1750-1774,13,0.044771,0.036172,0.020974,0.200011,0.183206,0.057488,0.598366,0.631267,0.092920,0.019309,0.019685,0.012429
Gemini,1775-1799,14,0.040502,0.037660,0.014806,0.207871,0.202687,0.060553,0.592080,0.597245,0.110106,0.019782,0.016729,0.013358
Gemini,1800-1824,7,0.046508,0.016556,0.073825,0.156508,0.093023,0.193206,0.783549,0.833867,0.199423,0.016412,0.010850,0.014569
Kraken,1600-1624,5,0.206111,0.134511,0.191095,0.398068,0.342201,0.214385,0.530738,0.490823,0.160149,0.064088,0.059627,0.018949
Kraken,1625-1649,5,0.183489,0.122340,0.193574,0.314283,0.248705,0.210825,0.645731,0.622019,0.114008,0.051473,0.056213,0.015614
Kraken,1650-1674,11,0.104171,0.081818,0.077860,0.226788,0.196850,0.117933,0.669002,0.682241,0.152424,0.055400,0.044917,0.028250
Kraken,1675-1699,21,0.077216,0.054008,0.074550,0.191416,0.161442,0.149885,0.709237,0.757773,0.167151,0.049967,0.041885,0.038639
Kraken,1700-1724,12,0.066923,0.072245,0.030098,0.196179,0.198439,0.071652,0.675700,0.666211,0.120516,0.056474,0.054474,0.022094
Kraken,1725-1749,12,0.058331,0.027259,0.058991,0.153971,0.119565,0.084481,0.768913,0.801810,0.098484,0.042552,0.029792,0.025173
Kraken,1750-1774,13,0.030956,0.026230,0.018975,0.139654,0.131068,0.069493,0.755776,0.772501,0.112277,0.040749,0.044053,0.014963
Kraken,1775-1799,14,0.098314,0.032892,0.231070,0.190834,0.141461,0.229040,0.734625,0.787091,0.214984,0.030049,0.025892,0.014961
Kraken,1800-1824,6,0.068727,0.018180,0.111869,0.139359,0.091229,0.141925,0.814548,0.838796,0.125871,0.023428,0.019388,0.014144
LightOn,1600-1624,5,0.097752,0.083004,0.068961,0.175752,0.145299,0.111178,0.723176,0.751884,0.169739,0.045405,0.037736,0.033227
LightOn,1625-1649,5,0.084575,0.058067,0.057213,0.156559,0.090674,0.118143,0.761144,0.855689,0.172132,0.040382,0.031034,0.020893
LightOn,1650-1674,11,0.076063,0.058486,0.070486,0.126275,0.098592,0.094648,0.802284,0.837213,0.127251,0.031663,0.029630,0.021062
LightOn,1675-1699,21,0.399277,0.040567,1.369582,0.368571,0.069620,1.099079,0.800883,0.890017,0.200179,0.055887,0.022167,0.130821
LightOn,1700-1724,12,0.068288,0.037184,0.069879,0.112744,0.076949,0.103440,0.826079,0.862169,0.152656,0.026264,0.023833,0.020436
LightOn,1725-1749,12,0.032682,0.010110,0.041582,0.063456,0.033048,0.061899,0.914105,0.941576,0.081129,0.010366,0.005163,0.015466
LightOn,1750-1774,13,0.015623,0.011450,0.012074,0.055886,0.043956,0.045627,0.890363,0.915814,0.090492,0.007615,0.006042,0.008379
LightOn,1775-1799,14,0.020390,0.007864,0.031549,0.044130,0.026766,0.042209,0.926825,0.963883,0.093920,0.013478,0.005230,0.026963
LightOn,1800-1824,7,0.129743,0.005364,0.305786,0.080419,0.018692,0.150934,0.899972,0.966965,0.160724,0.007083,0.004464,0.008223
MinerU,1600-1624,5,0.123126,0.125780,0.055724,0.309961,0.287749,0.098443,0.478444,0.482871,0.119283,0.084197,0.050595,0.076957
MinerU,1625-1649,5,0.093974,0.082163,0.055562,0.310584,0.337349,0.123285,0.527679,0.499154,0.093704,0.102812,0.100304,0.081973
MinerU,1650-1674,11,0.092102,0.071368,0.067239,0.225487,0.195171,0.093599,0.605160,0.615551,0.122879,0.046334,0.043478,0.018462
MinerU,1675-1699,21,0.089200,0.048356,0.124613,0.205715,0.167526,0.134257,0.639068,0.683323,0.123454,0.038120,0.027875,0.023701
MinerU,1700-1724,12,0.061216,0.055710,0.033634,0.150058,0.158074,0.043276,0.708248,0.690266,0.070552,0.035869,0.030054,0.014058
MinerU,1725-1749,12,0.079436,0.034093,0.081971,0.169713,0.131689,0.091914,0.702181,0.716853,0.088220,0.031492,0.029405,0.013175
MinerU,1750-1774,13,0.045989,0.043079,0.021505,0.151092,0.146226,0.046722,0.691675,0.702286,0.091006,0.029285,0.028777,0.011879
MinerU,1775-1799,14,0.051942,0.036956,0.048594,0.157254,0.140422,0.089574,0.691577,0.687057,0.160754,0.025157,0.022648,0.014422
MinerU,1800-1824,7,0.180737,0.012583,0.300097,0.149116,0.043189,0.164579,0.796019,0.915810,0.203092,0.004265,0.000000,0.007359
OlmOCRv1,1600-1624,5,0.138292,0.079626,0.174971,0.196751,0.152941,0.177651,0.697495,0.729691,0.219442,0.047581,0.062500,0.025240
OlmOCRv1,1625-1649,5,0.039234,0.018174,0.035933,0.101407,0.072539,0.067650,0.824069,0.850215,0.093365,0.034044,0.037500,0.015084
OlmOCRv1,1650-1674,11,0.054626,0.030321,0.064579,0.093160,0.065617,0.068254,0.851173,0.872015,0.065957,0.022001,0.023697,0.010011
OlmOCRv1,1675-1699,21,0.026705,0.014888,0.026939,0.061701,0.045752,0.045957,0.886452,0.909518,0.076956,0.018424,0.010823,0.014981
OlmOCRv1,1700-1724,12,0.069434,0.019951,0.127922,0.105121,0.051724,0.132767,0.843432,0.900945,0.173500,0.021137,0.009762,0.023696
OlmOCRv1,1725-1749,11,0.030905,0.013629,0.035108,0.051371,0.043243,0.041757,0.924683,0.917674,0.045511,0.008251,0.005587,0.009789
OlmOCRv1,1750-1774,13,0.022038,0.015636,0.013947,0.056972,0.038835,0.050362,0.895187,0.922152,0.096551,0.012852,0.010989,0.014612
OlmOCRv1,1775-1799,14,0.015009,0.011862,0.012781,0.038994,0.027498,0.030801,0.942758,0.965173,0.059688,0.003244,0.001908,0.003858
OlmOCRv1,1800-1824,7,0.047698,0.006792,0.100138,0.102048,0.017621,0.198313,0.886627,0.968879,0.196223,0.005074,0.004464,0.005726
OlmOCRv2,1600-1624,5,0.049223,0.042159,0.023267,0.105803,0.124654,0.042319,0.797403,0.752656,0.083352,0.026488,0.033994,0.012849
OlmOCRv2,1625-1649,5,0.039638,0.017287,0.042136,0.091966,0.059585,0.059860,0.838092,0.874923,0.089429,0.021249,0.023401,0.006740
OlmOCRv2,1650-1674,11,0.078114,0.030047,0.132415,0.116272,0.055911,0.150503,0.851974,0.890469,0.104625,0.011064,0.010830,0.004500
OlmOCRv2,1675-1699,21,0.026353,0.015251,0.030160,0.055740,0.043814,0.041539,0.899291,0.923635,0.072655,0.015977,0.011828,0.012521
OlmOCRv2,1700-1724,12,0.035383,0.019988,0.042759,0.073062,0.039027,0.072929,0.883786,0.934253,0.107649,0.017281,0.011091,0.019358
OlmOCRv2,1725-1749,12,0.060517,0.010759,0.134619,0.088635,0.034406,0.159511,0.881487,0.942270,0.186918,0.014375,0.004916,0.031085
OlmOCRv2,1750-1774,13,0.016007,0.015072,0.008240,0.050638,0.040293,0.042054,0.906482,0.929938,0.085359,0.008441,0.006173,0.007771
OlmOCRv2,1775-1799,14,0.019049,0.014192,0.015833,0.047003,0.027498,0.040015,0.925173,0.965173,0.082964,0.007971,0.004188,0.015986
OlmOCRv2,1800-1824,7,0.134062,0.006792,0.311912,0.111460,0.018051,0.222477,0.892801,0.965509,0.181122,0.004166,0.004464,0.003991
Tesseract,1600-1624,5,0.295609,0.227763,0.229465,0.620435,0.645429,0.223535,0.253313,0.181965,0.118047,0.111386,0.104265,0.051198
Tesseract,1625-1649,5,0.287631,0.233886,0.187655,0.612956,0.571429,0.175436,0.269687,0.279453,0.123209,0.097844,0.088924,0.032888
Tesseract,1650-1674,11,0.207925,0.167756,0.116495,0.510267,0.477041,0.142467,0.299751,0.286121,0.111489,0.110639,0.107570,0.042624
Tesseract,1675-1699,21,0.189153,0.122986,0.188735,0.461993,0.425703,0.197325,0.359102,0.355945,0.121603,0.101948,0.101796,0.046048
Tesseract,1700-1724,12,0.228879,0.143206,0.236538,0.464172,0.382791,0.210135,0.358170,0.402479,0.179243,0.102814,0.092322,0.043873
Tesseract,1725-1749,12,0.171831,0.081365,0.249048,0.379914,0.304695,0.211492,0.424154,0.483958,0.164834,0.095623,0.074597,0.062231
Tesseract,1750-1774,13,0.086222,0.070229,0.035092,0.335210,0.315534,0.069050,0.432277,0.439746,0.085858,0.070353,0.063197,0.029129
Tesseract,1775-1799,14,0.077892,0.061332,0.065221,0.323780,0.270982,0.172545,0.469157,0.487478,0.153389,0.065851,0.044444,0.061400
Tesseract,1800-1824,7,0.073066,0.035420,0.068750,0.235049,0.189744,0.167391,0.667050,0.669192,0.204472,0.050301,0.041667,0.041091
Tesseract-Legacy,1600-1624,5,0.408587,0.455037,0.214461,0.714204,0.807059,0.203653,0.208488,0.172082,0.094622,0.140448,0.149485,0.027030
Tesseract-Legacy,1625-1649,5,0.343006,0.338209,0.089384,0.663944,0.701807,0.085632,0.206119,0.225756,0.080357,0.130114,0.124764,0.028164
Tesseract-Legacy,1650-1674,11,0.305693,0.280588,0.126021,0.631041,0.633094,0.139286,0.206385,0.199438,0.109409,0.142315,0.149733,0.045812
Tesseract-Legacy,1675-1699,21,0.322138,0.260377,0.218796,0.587045,0.582251,0.218850,0.292578,0.310871,0.115186,0.129151,0.109955,0.048077
Tesseract-Legacy,1700-1724,12,0.353594,0.326045,0.167631,0.628196,0.683676,0.222592,0.262416,0.277823,0.175318,0.130409,0.120501,0.037826
Tesseract-Legacy,1725-1749,12,0.158014,0.135903,0.103334,0.390259,0.326631,0.168292,0.402615,0.467038,0.151430,0.088169,0.077678,0.043002
Tesseract-Legacy,1750-1774,13,0.143189,0.125862,0.051732,0.382370,0.372998,0.095295,0.397148,0.391903,0.094362,0.079957,0.075269,0.023106
Tesseract-Legacy,1775-1799,14,0.130333,0.103407,0.090871,0.378033,0.321575,0.156536,0.391453,0.435252,0.181863,0.071544,0.066529,0.026983
Tesseract-Legacy,1800-1824,7,0.272977,0.226570,0.289434,0.453264,0.507220,0.306837,0.484252,0.549369,0.285956,0.100022,0.053659,0.110028
Transkribus,1600-1624,5,0.202102,0.109771,0.233294,0.330444,0.268440,0.259814,0.696000,0.672897,0.084363,0.039629,0.040741,0.008691
Transkribus,1625-1649,5,0.364365,0.339068,0.304038,0.476204,0.460465,0.350185,0.775916,0.824375,0.124273,0.035157,0.040301,0.011172
Transkribus,1650-1674,11,0.074899,0.048507,0.072300,0.135265,0.116541,0.073589,0.827670,0.834291,0.067975,0.038140,0.029720,0.021397
Transkribus,1675-1699,21,0.194548,0.040377,0.297841,0.271635,0.086758,0.347738,0.817674,0.857360,0.123242,0.031205,0.021472,0.020209
Transkribus,1700-1724,12,0.152114,0.040371,0.257302,0.227544,0.084690,0.310193,0.834638,0.873904,0.094399,0.030371,0.027773,0.009237
Transkribus,1725-1749,12,0.093619,0.020822,0.198757,0.142101,0.077497,0.205566,0.820892,0.893729,0.239077,0.030595,0.021645,0.021719
Transkribus,1750-1774,13,0.022357,0.016508,0.017667,0.090528,0.081678,0.050387,0.849218,0.865359,0.074725,0.032838,0.027888,0.015729
Transkribus,1775-1799,14,0.033856,0.018725,0.039134,0.112450,0.089246,0.082679,0.826837,0.848659,0.100175,0.030743,0.021993,0.025615
Transkribus,1800-1824,7,0.035712,0.016725,0.053970,0.093638,0.056478,0.075946,0.847327,0.895820,0.108360,0.020545,0.019544,0.011630
