Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Hallucination Rate,Total Hallucinated Words,Unique Hallucinated Words,Document Year,Age Group
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3.md",Tesseract,0.647059,0.868217,311,306,1715,13,17,530,3604,645,-0.076677,313,337,0.000000,89,89,-3.000000,2,8,0.329060,0.088924,57,54,1643,1625-1649
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2.md",Tesseract,0.131818,0.359580,123,31,136,30,8,99,2200,381,0.380711,197,122,0.000000,95,95,1.000000,0,0,0.422785,0.099256,40,40,1660,1650-1674
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53.md",Tesseract,0.191439,0.570175,146,178,405,28,49,313,3808,684,0.186352,381,310,0.000000,117,117,-6.666667,3,23,0.197582,0.144796,96,82,1675,1675-1699
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102.md",Tesseract,0.175708,0.506329,138,65,95,23,25,112,1696,316,0.256098,164,122,0.000000,69,69,0.125000,8,7,0.303541,0.130573,41,32,1675,1675-1699
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8.md,Tesseract,0.750358,1.011737,178,171,1223,23,2,406,2095,426,-0.490196,204,304,0.000000,67,67,1.000000,0,0,0.050263,0.248322,111,99,1675,1675-1699
Anonymous - 1676 - Wonderful news from Bristol_page_5.md,Tesseract,0.172881,0.557078,28,53,123,5,17,100,1180,219,0.019417,103,101,0.000000,27,27,-1.000000,1,2,0.178834,0.164251,34,30,1676,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3.md,Tesseract,0.085430,0.344262,87,10,49,34,6,65,1709,305,0.436242,149,84,0.000000,78,78,0.333333,6,4,0.484856,0.066066,22,22,1677,1675-1699
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10.md",Tesseract,0.143206,0.429539,198,122,266,49,35,233,4092,738,0.229358,327,252,0.000000,159,159,-1.666667,3,8,0.355945,0.086436,65,63,1680,1675-1699
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1.md,Tesseract,0.104672,0.305643,139,48,167,42,11,142,3382,638,0.456667,300,163,0.000000,157,157,0.071429,14,13,0.510183,0.061286,41,35,1682,1675-1699
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122.md,Tesseract,0.759106,0.994845,346,162,1055,70,31,285,2059,388,-0.192118,203,242,0.000000,63,63,-3.500000,2,9,0.275249,0.121780,52,51,1690,1675-1699
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1.md,Tesseract,0.099256,0.313725,25,18,37,6,6,36,806,153,0.343750,64,42,0.000000,31,31,0.200000,5,4,0.466869,0.091503,14,14,1692,1675-1699
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1.md,Tesseract,0.082757,0.305857,193,36,214,42,21,219,5353,922,0.447796,431,238,0.000000,245,245,-4.000000,1,5,0.459076,0.045599,43,40,1693,1675-1699
