OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
Gemini,1650-1674,11,0.067045,0.041645,0.062335,0.198748,0.186352,0.057856,0.623892,0.625560,0.047549,0.012989,0.011710,0.006261
Gemini,1675-1699,20,0.043207,0.038010,0.024893,0.180265,0.178437,0.056235,0.639404,0.636191,0.079649,0.016864,0.012611,0.013242
Gemini,1700-1724,12,0.038965,0.038505,0.017506,0.155847,0.170428,0.038769,0.681574,0.657211,0.065512,0.017378,0.012445,0.014808
Gemini,1725-1749,12,0.049974,0.040100,0.030105,0.179291,0.171006,0.038898,0.653099,0.637364,0.050324,0.013544,0.012895,0.008303
Gemini,1750-1774,13,0.039985,0.036172,0.010018,0.194882,0.183206,0.049694,0.600675,0.631267,0.090547,0.018657,0.019685,0.011426
Gemini,1775-1799,14,0.040502,0.037660,0.014806,0.207871,0.202687,0.060553,0.592080,0.597245,0.110106,0.019782,0.016729,0.013358
Gemini,1800-1824,7,0.046551,0.016556,0.073821,0.156719,0.093023,0.193235,0.783390,0.833867,0.199556,0.016412,0.010850,0.014569
Kraken,1600-1624,5,0.206111,0.134511,0.191095,0.398068,0.342201,0.214385,0.530738,0.490823,0.160149,0.064088,0.059627,0.018949
Kraken,1625-1649,5,0.183489,0.122340,0.193574,0.314283,0.248705,0.210825,0.645731,0.622019,0.114008,0.051473,0.056213,0.015614
Kraken,1650-1674,11,0.104171,0.081818,0.077860,0.226788,0.196850,0.117933,0.669002,0.682241,0.152424,0.055400,0.044917,0.028250
Kraken,1675-1699,21,0.077250,0.054185,0.074471,0.191566,0.161442,0.149320,0.708574,0.757773,0.166738,0.049741,0.041885,0.037335
Kraken,1700-1724,12,0.066902,0.072245,0.030105,0.195926,0.198439,0.071787,0.675923,0.666211,0.120621,0.056363,0.054474,0.022167
Kraken,1725-1749,12,0.058331,0.027259,0.058991,0.153971,0.119565,0.084481,0.768913,0.801810,0.098484,0.042552,0.029792,0.025173
Kraken,1750-1774,13,0.030900,0.026230,0.018967,0.139459,0.131068,0.069370,0.755908,0.772501,0.112178,0.040749,0.044053,0.014963
Kraken,1775-1799,14,0.098314,0.032892,0.231070,0.190834,0.141461,0.229040,0.734625,0.787091,0.214984,0.030049,0.025892,0.014961
Kraken,1800-1824,6,0.068727,0.018180,0.111869,0.139359,0.091229,0.141925,0.814548,0.838796,0.125871,0.023428,0.019388,0.014144
MinerU,1600-1624,5,0.122965,0.098753,0.057112,0.305556,0.287749,0.101376,0.475995,0.482677,0.118720,0.083448,0.051051,0.077262
MinerU,1625-1649,5,0.099156,0.083753,0.058051,0.311925,0.343373,0.123700,0.527605,0.501664,0.094281,0.103855,0.103774,0.082422
MinerU,1650-1674,11,0.096047,0.080342,0.064537,0.226964,0.195171,0.092189,0.604501,0.614408,0.122159,0.046162,0.043478,0.018760
MinerU,1675-1699,21,0.095631,0.051684,0.123736,0.207795,0.169935,0.133114,0.637159,0.667436,0.123248,0.038176,0.028986,0.023301
MinerU,1700-1724,12,0.066386,0.057126,0.037848,0.154217,0.169794,0.044680,0.704930,0.690040,0.070107,0.035840,0.030023,0.014252
MinerU,1725-1749,12,0.083903,0.036395,0.082701,0.172162,0.136075,0.093112,0.702504,0.716110,0.089144,0.031900,0.029624,0.013564
MinerU,1750-1774,13,0.056928,0.046775,0.026001,0.158116,0.156489,0.046314,0.684434,0.688327,0.090254,0.029271,0.028986,0.012173
MinerU,1775-1799,14,0.054687,0.041318,0.047887,0.157838,0.141044,0.089530,0.691328,0.684991,0.160275,0.025386,0.022861,0.014579
MinerU,1800-1824,7,0.181508,0.012583,0.299893,0.149334,0.043189,0.164588,0.794546,0.914102,0.203862,0.004275,0.000000,0.007359
OlmOCRv1,1600-1624,5,0.138292,0.079626,0.174971,0.196751,0.152941,0.177651,0.697495,0.729691,0.219442,0.047581,0.062500,0.025240
OlmOCRv1,1625-1649,5,0.039234,0.018174,0.035933,0.101407,0.072539,0.067650,0.824069,0.850215,0.093365,0.034044,0.037500,0.015084
OlmOCRv1,1650-1674,11,0.054626,0.030321,0.064579,0.093160,0.065617,0.068254,0.851173,0.872015,0.065957,0.022001,0.023697,0.010011
OlmOCRv1,1675-1699,21,0.027068,0.014888,0.027254,0.062438,0.045752,0.046407,0.885015,0.909518,0.078047,0.018707,0.010823,0.015377
OlmOCRv1,1700-1724,12,0.069455,0.020079,0.127914,0.105351,0.053104,0.132653,0.843024,0.898496,0.173304,0.021256,0.010476,0.023643
OlmOCRv1,1725-1749,11,0.030905,0.013629,0.035108,0.051371,0.043243,0.041757,0.924683,0.917674,0.045511,0.008251,0.005587,0.009789
OlmOCRv1,1750-1774,13,0.022065,0.015986,0.013935,0.057130,0.038835,0.050321,0.895032,0.922152,0.096517,0.012852,0.010989,0.014612
OlmOCRv1,1775-1799,14,0.015009,0.011862,0.012781,0.038994,0.027498,0.030801,0.942758,0.965173,0.059688,0.003244,0.001908,0.003858
OlmOCRv1,1800-1824,7,0.047743,0.006792,0.100119,0.102559,0.019820,0.198096,0.885726,0.963749,0.195852,0.005334,0.004464,0.005860
OlmOCRv2,1600-1624,5,0.049223,0.042159,0.023267,0.105803,0.124654,0.042319,0.797403,0.752656,0.083352,0.026488,0.033994,0.012849
OlmOCRv2,1625-1649,5,0.039638,0.017287,0.042136,0.091966,0.059585,0.059860,0.838092,0.874923,0.089429,0.021249,0.023401,0.006740
OlmOCRv2,1650-1674,11,0.078114,0.030047,0.132415,0.116272,0.055911,0.150503,0.851974,0.890469,0.104625,0.011064,0.010830,0.004500
OlmOCRv2,1675-1699,21,0.026580,0.015251,0.030292,0.056255,0.045662,0.041633,0.897845,0.920217,0.073718,0.016374,0.012920,0.013074
OlmOCRv2,1700-1724,12,0.035404,0.019988,0.042753,0.073292,0.040405,0.072832,0.883378,0.931802,0.107482,0.017400,0.011351,0.019308
OlmOCRv2,1725-1749,12,0.060517,0.010759,0.134619,0.088635,0.034406,0.159511,0.881487,0.942270,0.186918,0.014375,0.004916,0.031085
OlmOCRv2,1750-1774,13,0.016034,0.015072,0.008239,0.050796,0.040293,0.042029,0.906327,0.929938,0.085341,0.008441,0.006173,0.007771
OlmOCRv2,1775-1799,14,0.019049,0.014192,0.015833,0.047003,0.027498,0.040015,0.925173,0.965173,0.082964,0.007971,0.004188,0.015986
OlmOCRv2,1800-1824,7,0.134107,0.006792,0.311893,0.111970,0.021622,0.222266,0.891901,0.959209,0.180774,0.004426,0.004464,0.004235
Tesseract,1600-1624,5,0.295609,0.227763,0.229465,0.620435,0.645429,0.223535,0.253313,0.181965,0.118047,0.111386,0.104265,0.051198
Tesseract,1625-1649,5,0.287741,0.233886,0.187868,0.613266,0.571429,0.175888,0.269687,0.279453,0.123209,0.097816,0.088785,0.032896
Tesseract,1650-1674,11,0.207925,0.167756,0.116495,0.510267,0.477041,0.142467,0.299751,0.286121,0.111489,0.110639,0.107570,0.042624
Tesseract,1675-1699,21,0.189672,0.122986,0.190274,0.462950,0.425703,0.200164,0.358975,0.355945,0.121699,0.101852,0.101796,0.045964
Tesseract,1700-1724,12,0.156662,0.143206,0.096662,0.417037,0.385935,0.149077,0.399036,0.424669,0.134387,0.102099,0.087638,0.046365
Tesseract,1725-1749,12,0.101990,0.081365,0.054791,0.332765,0.304695,0.105466,0.457425,0.483958,0.105169,0.084715,0.074597,0.047268
Tesseract,1750-1774,13,0.086166,0.070229,0.035114,0.334990,0.315534,0.069049,0.432429,0.439746,0.085828,0.070353,0.063197,0.029129
Tesseract,1775-1799,14,0.077838,0.061332,0.065238,0.323780,0.270982,0.172545,0.469156,0.487478,0.153389,0.065837,0.044346,0.061405
Tesseract,1800-1824,7,0.073014,0.035420,0.068685,0.234931,0.189744,0.167233,0.667050,0.669192,0.204472,0.050301,0.041667,0.041091
Transkribus,1600-1624,5,0.202102,0.109771,0.233294,0.330444,0.268440,0.259814,0.696000,0.672897,0.084363,0.039629,0.040741,0.008691
Transkribus,1625-1649,5,0.364365,0.339068,0.304038,0.476204,0.460465,0.350185,0.775916,0.824375,0.124273,0.035157,0.040301,0.011172
Transkribus,1650-1674,11,0.074899,0.048507,0.072300,0.135265,0.116541,0.073589,0.827670,0.834291,0.067975,0.038140,0.029720,0.021397
Transkribus,1675-1699,21,0.194421,0.040377,0.297668,0.271095,0.086758,0.347088,0.818617,0.857360,0.122273,0.030741,0.021472,0.019781
Transkribus,1700-1724,12,0.152092,0.040371,0.257313,0.227303,0.084690,0.310326,0.835046,0.873904,0.094677,0.030256,0.027773,0.009331
Transkribus,1725-1749,12,0.093619,0.020822,0.198757,0.142101,0.077497,0.205566,0.820892,0.893729,0.239077,0.030595,0.021645,0.021719
Transkribus,1750-1774,13,0.022302,0.016508,0.017681,0.090347,0.081678,0.050362,0.849382,0.865359,0.074655,0.032838,0.027888,0.015729
Transkribus,1775-1799,14,0.033856,0.018725,0.039134,0.112450,0.089246,0.082679,0.826837,0.848659,0.100175,0.030743,0.021993,0.025615
Transkribus,1800-1824,7,0.035667,0.016404,0.053987,0.093356,0.056478,0.075948,0.847576,0.895820,0.108339,0.020545,0.019544,0.011630
