Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Hallucination Rate,Total Hallucinated Words,Unique Hallucinated Words,Document Year,Age Group
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3_page_001.md",Tesseract,0.685627,0.903876,451,306,1714,36,17,530,3604,645,-0.115016,313,349,0.089888,89,81,-4.500000,2,11,0.320819,0.091867,61,58,1643,1625-1649
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2_page_001.md",Tesseract,0.175455,0.388451,250,31,105,47,7,94,2200,381,0.350254,197,128,0.347368,95,62,1.000000,0,0,0.418622,0.097387,41,41,1660,1650-1674
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53_page_001.md",Tesseract,0.227679,0.600877,285,178,404,49,49,313,3808,684,0.154856,381,322,0.239316,117,89,-7.666667,3,26,0.197952,0.153509,105,91,1675,1675-1699
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102_page_001.md",Tesseract,0.258255,0.566456,278,65,95,42,25,112,1696,316,0.182927,164,134,0.246377,69,52,-0.250000,8,10,0.289541,0.135135,45,36,1675,1675-1699
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8_page_001.md,Tesseract,0.799523,1.058685,320,122,1233,50,1,400,2095,426,-0.573529,204,321,-0.223881,67,82,1.000000,0,0,0.048262,0.256842,122,110,1675,1675-1699
Anonymous - 1676 - Wonderful news from Bristol_page_5_page_001.md,Tesseract,0.223729,0.593607,89,49,126,13,16,101,1180,219,-0.019417,103,105,0.074074,27,25,-4.000000,1,5,0.179485,0.171296,37,33,1676,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3_page_001.md,Tesseract,0.128730,0.380328,162,10,48,45,6,65,1709,305,0.402685,149,89,0.525641,78,37,0.000000,6,6,0.470275,0.069767,24,24,1677,1675-1699
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10_page_001.md",Tesseract,0.177175,0.462060,337,122,266,73,35,233,4092,738,0.201835,327,261,0.251572,159,119,-2.666667,3,11,0.346527,0.092784,72,70,1680,1675-1699
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1_page_001.md,Tesseract,0.134831,0.327586,244,49,163,58,11,140,3382,638,0.433333,300,170,0.547771,157,71,-0.142857,14,16,0.502071,0.062774,43,37,1682,1675-1699
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122_page_001.md,Tesseract,0.826129,1.051546,486,162,1053,92,31,285,2059,388,-0.236453,203,251,-0.095238,63,69,-5.000000,2,12,0.263016,0.131403,59,57,1690,1675-1699
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1_page_001.md,Tesseract,0.276675,0.457516,172,18,33,32,6,32,806,153,0.203125,64,51,0.387097,31,19,-0.200000,5,6,0.457431,0.089385,16,16,1692,1675-1699
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1_page_001.md,Tesseract,0.098263,0.323210,281,29,216,58,20,220,5353,922,0.429234,431,246,0.628571,245,91,-7.000000,1,8,0.452199,0.048958,47,44,1693,1675-1699
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10_page_001.md",Tesseract,0.158476,0.419142,409,8,128,88,2,164,3439,606,0.261818,275,203,0.459184,98,53,0.375000,8,5,0.381152,0.111272,77,74,1693,1675-1699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2_page_001.md",Tesseract,0.112369,0.319088,265,87,293,55,19,262,5740,1053,0.388060,469,287,0.528889,225,106,-1.200000,5,11,0.481674,0.067034,73,65,1695,1675-1699
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31_page_001.md,Tesseract,0.181176,0.464174,331,64,246,56,17,225,3538,642,0.109155,284,253,0.243902,123,93,0.125000,16,14,0.327031,0.114537,78,75,1700,1700-1724
Anonymous - 1700 - Directions for Sugar Plums_page_1_page_001.md,Tesseract,0.438719,0.718289,585,292,698,99,49,339,3590,678,0.076294,367,339,0.286713,286,204,0.352941,17,11,0.262813,0.146978,107,102,1700,1700-1724
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50_page_001.md,Tesseract,0.174795,0.422535,362,114,205,80,27,193,3896,710,0.295031,322,227,0.206349,63,50,-5.500000,2,13,0.402236,0.069463,53,49,1700,1700-1724
Anonymous - 1704 - Female Policy Detected_page_73_page_001.md,Tesseract,0.118207,0.342657,92,13,69,24,5,69,1472,286,0.429630,135,77,0.614035,57,22,-7.000000,1,8,0.454154,0.101639,31,30,1704,1700-1724
Anonymous - 1710 - Whereas the Queen has been pleased to direct_page_1_page_001.md,Tesseract,0.137730,0.317808,217,4,86,42,2,72,2229,365,0.470270,185,98,0.576923,130,55,0.333333,9,6,0.544045,0.056790,23,23,1710,1700-1724
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1_page_001.md",Tesseract,0.156774,0.391442,319,48,185,59,17,171,3521,631,0.310469,277,191,0.378882,161,100,-0.400000,5,7,0.442678,0.086181,58,52,1712,1700-1724
Anonymous - 1716 - A True Account of the late pyracies of Jamaica_page_19_page_001.md,Tesseract,0.326415,0.792079,162,44,140,14,30,116,1060,202,-0.287356,87,112,0.111111,45,40,-0.250000,4,5,0.103898,0.220430,41,40,1716,1700-1724
Anonymous - 1721 - The unhappy voyage_page_1_page_001.md,Tesseract,0.170718,0.389937,485,112,295,107,19,246,5225,954,0.425150,501,288,0.496324,272,137,-2.250000,4,13,0.445946,0.087332,91,82,1721,1700-1724
Anonymous - 1726 - The State of the Island of Jamaica_page_41_page_001.md,Tesseract,0.277743,0.641304,187,63,198,29,9,139,1613,276,0.000000,142,142,0.333333,78,52,-1.000000,4,8,0.221603,0.202703,60,56,1726,1725-1749
Anonymous - 1728 - Some observations on the Assiento Trade_page_22_page_001.md,Tesseract,0.152695,0.427350,143,45,118,28,7,115,2004,351,0.174194,155,128,0.387500,80,49,-1.000000,3,6,0.291203,0.112903,42,41,1728,1725-1749
Anonymous - 1731 - The Case of the British Sugar-Colonies_page_2_page_001.md,Tesseract,0.172080,0.398072,249,227,271,41,24,224,4341,726,0.298551,345,242,0.407035,199,118,-2.500000,2,7,0.435558,0.127860,95,80,1731,1725-1749
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1_page_001.md,Tesseract,0.086825,0.227027,118,8,46,25,4,55,1981,370,0.647399,173,61,0.760000,75,18,-1.000000,3,6,0.607798,0.051151,20,20,1732,1725-1749
Anonymous - 1740 - A letter from a gentleman at barbados to his friend now in London_page_25_page_001.md,Tesseract,0.128264,0.309735,118,1,48,23,1,46,1302,226,0.442308,104,58,0.617021,47,18,0.000000,3,3,0.485572,0.060484,15,15,1740,1725-1749
"Anonymous - 1743 - Acts of Assembly passed in the Island of Jamaica from 1681, to 1737, inclusive_page_118_page_001.md",Tesseract,0.136914,0.339585,377,138,265,105,29,210,5697,1013,0.426501,483,277,0.622896,297,112,-3.500000,2,9,0.490215,0.054178,59,53,1743,1725-1749
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6_page_001.md,Tesseract,0.114573,0.342792,264,83,212,51,26,225,4879,881,0.297376,343,241,0.452514,179,98,-3.000000,1,4,0.450449,0.071744,65,57,1744,1725-1749
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41_page_001.md,Tesseract,0.188928,0.402844,173,5,37,31,2,52,1138,211,0.368932,103,65,0.674419,43,14,-0.500000,2,3,0.425879,0.137500,33,31,1746,1725-1749
Anonymous - 1752 - The art of making sugar_page_1_page_001.md,Tesseract,0.137151,0.388521,84,138,142,22,20,134,2654,453,0.394958,238,144,0.285714,14,10,-2.000000,3,9,0.385145,0.065934,30,27,1752,1750-1774
Anonymous - 1753 - An accurate description of the cacao-tree_page_2_page_001.md,Tesseract,0.102108,0.342233,100,32,86,18,25,98,2135,412,0.423913,184,106,0.552632,38,17,0.714286,14,4,0.486377,0.061728,25,23,1753,1750-1774
Anonymous - 1757 - The Jamaica Association Develop'd_page_14_page_001.md,Tesseract,0.125191,0.400943,106,2,56,24,0,61,1310,212,0.218750,96,75,0.312500,48,33,-3.000000,1,4,0.353042,0.093220,22,20,1757,1750-1774
Anonymous - 1764 - Astronomical Observations Made at the Island of Barbados; At Willoughby Fort_page_1_page_001.md,Tesseract,0.122540,0.292857,132,6,55,25,1,56,1575,280,0.550633,158,71,0.526316,57,27,0.684211,19,6,0.518722,0.039474,12,11,1764,1750-1774
Anonymous - 1766 - The privileges of the island of jamaica vindicated_page_64_page_001.md,Tesseract,0.163136,0.405512,146,7,78,34,1,68,1416,254,0.258929,112,83,0.571429,14,6,-1.500000,2,5,0.413964,0.094077,27,24,1766,1750-1774
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7_page_001.md",Tesseract,0.125613,0.361556,219,6,108,44,2,112,2651,437,0.350230,217,141,0.600000,140,56,-1.000000,1,2,0.419179,0.060543,29,27,1768,1750-1774
Anonymous - 1768 - Letters from a farmer in pennsylvania_page_74_page_001.md,Tesseract,0.209868,0.490842,118,32,152,28,8,98,1439,273,0.228346,127,98,0.000000,4,4,-4.000000,1,5,0.303390,0.163823,48,47,1768,1750-1774
Anonymous - 1789 - Notes on the two reports from the committee of the honourable house of assembly of Jamaica_page_32_page_001.md,Tesseract,0.190858,0.507177,192,3,43,49,0,57,1247,209,0.421053,114,66,0.714286,28,8,0.416667,12,7,0.357404,0.054264,14,10,1789,1775-1799
Anonymous - 1792 - Bristol an abstract of the city charter_page_32_page_001.md,Tesseract,0.125234,0.280612,92,1,41,17,1,37,1070,196,0.505618,89,44,0.642857,28,10,-3.000000,1,4,0.530452,0.051887,11,11,1792,1775-1799
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15_page_001.md,Tesseract,0.122542,0.309735,101,14,47,18,4,48,1322,226,0.439252,107,60,0.333333,9,6,-0.500000,2,3,0.488254,0.058333,14,13,1792,1775-1799
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1_page_001.md",Tesseract,0.134309,0.209302,98,0,3,19,0,8,752,129,0.683333,60,19,0.428571,7,4,-2.000000,1,3,0.748635,0.060811,9,9,1793,1775-1799
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7_page_001.md,Tesseract,0.248344,0.501661,317,11,47,70,7,74,1510,301,0.380682,176,109,0.340426,47,31,-9.000000,1,10,0.418645,0.140110,51,50,1800,1800-1824
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243_page_001.md,Tesseract,0.103396,0.105727,137,0,0,22,0,2,1325,227,0.866667,105,14,-0.500000,2,3,-2.000000,1,3,0.890815,0.036145,9,9,1803,1800-1824
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9_page_001.md",Tesseract,0.105822,0.291139,333,45,200,72,10,194,5462,948,0.501155,433,216,0.625616,203,76,-3.000000,2,8,0.524157,0.048515,49,47,1691,1675-1699
"Anonymous and Kilkenny - 1643 - Orders establisht in the popish generall assembly, held (under the specious pretence of supreme auth_page_5_page_001.md",Tesseract,0.138882,0.381847,301,38,185,47,24,173,3773,639,0.308970,301,208,0.439560,91,51,0.333333,9,6,0.432075,0.061934,41,37,1643,1625-1649
