Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Hallucination Rate,Total Hallucinated Words,Unique Hallucinated Words,Document Year,Age Group
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3_page_001.md",Tesseract,0.61493,0.835329,277,390,1623,12,38,508,3724,668,0.021021,333,326,0.252525,99,74,-1.333333,3,7,0.344939,0.077882,50,47,1643,1625-1649
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2_page_001.md",Tesseract,0.149549,0.34321,80,115,153,18,20,101,2327,405,0.43578,218,123,0.383178,107,66,-1,1,2,0.476927,0.07196,29,29,1660,1650-1674
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53_page_001.md",Tesseract,0.210272,0.570621,134,291,402,23,68,313,3933,708,0.204489,401,319,0.267717,127,93,-4.75,4,23,0.199255,0.135747,90,76,1675,1675-1699
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102_page_001.md",Tesseract,0.219284,0.525223,129,175,94,20,43,114,1815,337,0.263736,182,134,0.265823,79,58,0.222222,9,7,0.308078,0.10828,34,28,1675,1675-1699
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8_page_001.md,Tesseract,0.700226,0.957399,156,215,1180,14,4,409,2215,446,-0.351351,222,300,0.052632,76,72,-12,1,13,0.099228,0.232456,106,95,1675,1675-1699
Anonymous - 1676 - Wonderful news from Bristol_page_5_page_001.md,Tesseract,0.162752,0.524444,16,53,125,1,19,98,1192,225,0.12844,109,95,0.185185,27,22,-1,1,2,0.191264,0.149758,31,27,1676,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3_page_001.md,Tesseract,0.077862,0.302251,75,10,49,29,7,58,1721,311,0.535484,155,72,0.641026,78,28,0.333333,6,4,0.520964,0.054054,18,18,1677,1675-1699
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10_page_001.md",Tesseract,0.166117,0.431937,171,247,287,36,48,246,4244,764,0.264368,348,256,0.25,172,129,-0.75,4,7,0.371791,0.073138,55,53,1680,1675-1699
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1_page_001.md,Tesseract,0.10295,0.29595,133,50,166,38,11,141,3390,642,0.476974,304,159,0.588608,158,65,0.071429,14,13,0.520763,0.058296,39,33,1682,1675-1699
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122_page_001.md,Tesseract,0.688525,0.925301,284,237,991,39,27,318,2196,415,-0.035398,226,234,0.189189,74,60,-1.666667,3,8,0.313588,0.096019,41,40,1690,1675-1699
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1_page_001.md,Tesseract,0.099256,0.313725,25,18,37,6,6,36,806,153,0.34375,64,42,0.451613,31,17,0.2,5,4,0.466869,0.091503,14,14,1692,1675-1699
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1_page_001.md,Tesseract,0.060179,0.277365,79,36,214,23,21,217,5467,941,0.50783,447,220,0.686275,255,80,-1,2,4,0.483853,0.039236,37,34,1693,1675-1699
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10_page_001.md",Tesseract,0.105277,0.363636,77,109,207,11,58,191,3733,715,0.437299,311,175,0.541284,109,50,0.777778,9,2,0.40638,0.073353,49,46,1693,1675-1699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2_page_001.md",Tesseract,0.070918,0.270545,31,94,292,12,23,258,5880,1083,0.489919,496,253,0.612766,235,91,-0.166667,6,7,0.511477,0.051306,55,48,1695,1675-1699
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31_page_001.md,Tesseract,0.10424,0.375185,63,75,248,9,24,221,3703,677,0.310127,316,218,0.433824,136,77,0.411765,17,10,0.369567,0.089124,59,56,1700,1700-1724
Anonymous - 1700 - Directions for Sugar Plums_page_1_page_001.md,Tesseract,0.429883,0.704412,526,301,718,88,49,342,3594,680,0.084469,367,336,0.29021,286,203,0.470588,17,9,0.265461,0.148818,107,102,1700,1700-1724
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50_page_001.md,Tesseract,0.145297,0.376891,249,116,205,55,31,188,3923,727,0.366667,330,209,0.285714,63,45,-4,2,10,0.428361,0.057257,43,40,1700,1700-1724
Anonymous - 1704 - Female Policy Detected_page_73_page_001.md,Tesseract,0.072973,0.296552,23,13,72,12,5,69,1480,290,0.507143,140,69,0.684211,57,18,-4,1,5,0.481668,0.087542,26,25,1704,1700-1724
Anonymous - 1710 - Whereas the Queen has been pleased to direct_page_1_page_001.md,Tesseract,0.052159,0.219321,26,5,91,11,2,71,2339,383,0.62,200,76,0.7,140,42,0.5,10,5,0.594978,0.035714,14,14,1710,1700-1724
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1_page_001.md",Tesseract,0.109713,0.349085,108,116,177,28,33,168,3655,656,0.41,300,177,0.488372,172,88,0.166667,6,5,0.454763,0.073733,48,42,1712,1700-1724
Anonymous - 1716 - A True Account of the late pyracies of Jamaica_page_19_page_001.md,Tesseract,0.242737,0.707317,72,46,141,1,34,110,1067,205,-0.10989,91,101,0.244444,45,34,0.5,4,2,0.12103,0.197674,34,33,1716,1700-1724
Anonymous - 1721 - The unhappy voyage_page_1_page_001.md,Tesseract,0.147412,0.36701,332,159,295,82,26,248,5332,970,0.463035,514,276,0.549645,282,127,-1.2,5,11,0.459738,0.081871,84,75,1721,1700-1724
Anonymous - 1726 - The State of the Island of Jamaica_page_41_page_001.md,Tesseract,0.225352,0.576923,109,78,181,12,14,139,1633,286,0.137255,153,132,0.371795,78,49,-0.25,4,5,0.252302,0.179577,51,47,1726,1725-1749
Anonymous - 1728 - Some observations on the Assiento Trade_page_22_page_001.md,Tesseract,0.106436,0.364903,51,47,117,9,7,115,2020,359,0.294479,163,115,0.4625,80,43,0,3,3,0.311524,0.096953,35,34,1728,1725-1749
Anonymous - 1731 - The Case of the British Sugar-Colonies_page_2_page_001.md,Tesseract,0.173318,0.386364,165,338,270,26,42,221,4460,748,0.32967,364,244,0.416268,209,122,-0.666667,3,5,0.45233,0.11612,85,70,1731,1725-1749
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1_page_001.md,Tesseract,0.038674,0.172872,23,8,46,10,6,49,1991,376,0.740113,177,46,0.826667,75,13,0,3,3,0.655204,0.034211,13,13,1732,1725-1749
