Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Hallucination Rate,Total Hallucinated Words,Unique Hallucinated Words,Document Year,Age Group
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3.md",Chandra-Home,0.051289,0.122754,5,136,50,1,29,52,3724,668,0.774775,333,75,0.777778,99,22,0.333333,3,2,0.771773,0.015625,10,10,1643,1625-1649
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2.md",Chandra-Home,0.061882,0.106173,1,133,10,0,25,18,2327,405,0.821101,218,39,0.775701,107,24,0.000000,1,1,0.827894,0.026316,10,10,1660,1650-1674
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53.md",Chandra-Home,0.071955,0.144068,23,202,58,6,34,62,3933,708,0.775561,401,90,0.732283,127,34,-3.250000,4,17,0.752457,0.035294,24,16,1675,1675-1699
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102.md",Chandra-Home,0.069972,0.097923,12,109,6,0,16,17,1815,337,0.840659,182,29,0.759494,79,19,0.888889,9,1,0.841480,0.031153,10,8,1675,1675-1699
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8.md,Chandra-Home,0.096614,0.156951,12,135,67,5,21,44,2215,446,0.747748,222,56,0.552632,76,34,0.000000,1,1,0.725219,0.039535,17,16,1675,1675-1699
Anonymous - 1676 - Wonderful news from Bristol_page_5.md,Chandra-Home,0.023490,0.106667,1,20,7,1,7,16,1192,225,0.788991,109,23,0.814815,27,5,0.000000,1,1,0.796164,0.041096,9,9,1676,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3.md,Chandra-Home,0.012202,0.061093,0,18,3,0,8,11,1721,311,0.883871,155,18,0.884615,78,9,0.833333,6,1,0.884915,0.019802,6,6,1677,1675-1699
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10.md",Chandra-Home,0.046654,0.078534,5,177,16,2,33,25,4244,764,0.853448,348,51,0.848837,172,26,0.000000,4,4,0.876293,0.020464,15,15,1680,1675-1699
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1.md,Chandra-Home,0.109145,0.138629,53,73,244,25,33,31,3390,642,0.773026,304,69,0.689873,158,49,0.785714,14,3,0.878187,0.018927,12,10,1682,1675-1699
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122.md,Chandra-Home,0.084699,0.134940,1,174,11,0,34,22,2196,415,0.778761,226,50,0.729730,74,20,0.000000,3,3,0.780370,0.031496,12,11,1690,1675-1699
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1.md,Chandra-Home,0.153846,0.117647,120,1,3,12,0,6,806,153,0.750000,64,16,0.741935,31,8,-1.800000,5,14,0.844687,0.072727,12,12,1692,1675-1699
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1.md,Chandra-Home,0.052314,0.078640,27,243,16,3,42,29,5467,941,0.879195,447,54,0.858824,255,36,0.500000,2,1,0.874426,0.015521,14,12,1693,1675-1699
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10.md",Chandra-Home,0.087597,0.208392,7,304,16,0,114,35,3733,715,0.762058,311,74,0.770642,109,25,0.555556,9,4,0.615646,0.046589,28,28,1693,1675-1699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2.md",Chandra-Home,0.027721,0.057248,1,153,9,0,37,25,5880,1083,0.887097,496,56,0.872340,235,30,0.500000,6,3,0.905913,0.010516,11,10,1695,1675-1699
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31.md,Chandra-Home,0.062652,0.137371,19,195,18,1,44,48,3703,677,0.734177,316,84,0.676471,136,44,0.764706,17,4,0.760879,0.018927,12,12,1700,1700-1724
Anonymous - 1700 - Directions for Sugar Plums_page_1.md,Chandra-Home,0.153868,0.132353,434,73,46,27,16,47,3594,680,0.803815,367,72,0.860140,286,40,-0.823529,17,31,0.802483,0.034732,24,24,1700,1700-1724
